city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,新東琚,仁德區保生路２０號,新東琚,978,113/01/19,27.67,38.01,61.05,,,一層/十五層,住家用,土1 建1車1,2房2廳2衛,134,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.62,1.62,4.38坪,坡道平面,"1,340,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號七樓之５,新東琚,"1,398",113/01/12,31.64,47.02,58.98,,,七層/十五層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.3,2.9,5.51坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３６號七樓之２,新東琚,"1,150",112/12/31,34.19,36.52,62.44,,,七層/十五層,住家用,土1 建1車1,2房2廳2衛,158,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,18.12,1.11,4.01坪,坡道平面,"1,580,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路１０號七樓之３,新東琚,"1,050",112/12/18,32.36,35.20,60.36,,,七層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期114/02/05預售屋、或土地及建物分件登記案件;,16.71,1.66,3.88坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３８號四樓之５,新東琚,"1,440",112/11/30,32.2,47.14,59.01,,,四層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.39,2.89,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路１０號三樓之３,新東琚,990,112/11/27,30.19,35.20,60.36,,,三層/十五層,住家用,土1 建1車1,2房2廳2衛,154,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.71,1.66,3.88坪,坡道平面,"1,540,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３６號二樓之６,新東琚,937,112/11/03,29.96,33.84,61.10,,,二層/十五層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.09,1.36,3.76坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３８號三樓之２,新東琚,"1,348",112/10/31,29.85,47.04,59.01,,,三層/十五層,住家用,土1 建1車1,3房2廳2衛,168,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.33,2.9,5.51坪,坡道平面,"1,680,000元",7.51坪,地下一樓
台南市,仁德區,新東琚,仁德區保生路３６號七樓之３,新東琚,750,112/10/31,34.72,21.60,61.65,,,七層/十五層,住家用,土1 建1車0,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,13.32,1.02,3.01坪,,,,
台南市,仁德區,新東琚,仁德區保生路１０號四樓之６,新東琚,"1,320",112/10/30,29.65,47.04,59.00,,,四層/十五層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.32,2.9,5.51坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路１０號四樓之５,新東琚,"1,310",112/10/24,29.01,47.02,58.98,,,四層/十五層,住家用,土1 建1車1,3房2廳2衛,164,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.3,2.9,5.51坪,坡道平面,"1,640,000元",7.51坪,地下二樓
台南市,仁德區,新東琚,仁德區保生路１０號四樓之３,新東琚,970,112/10/24,29.69,35.20,60.36,,,四層/十五層,住家用,土1 建1車1,2房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.71,1.66,3.88坪,坡道平面,"1,480,000元",7.51坪,地下三樓
台南市,仁德區,新東琚,仁德區保生路３８號四樓之２,新東琚,"1,168",112/10/17,29.55,39.53,59.01,,,四層/十五層,住家用,土1 建1車0,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.33,2.9,5.51坪,,,,
