city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十一樓之８,東都綠學,"1,000",113/07/02,33.61,35.11,63.95,,,十一層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,480,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號八樓之２,東都綠學,"1,001",113/07/02,33.18,35.02,64.28,,,八層/十四層,住家用,土1 建1車1,2房2廳1衛,163,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,630,000元",9.76坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十二樓之８,東都綠學,998,113/07/02,33.72,34.77,63.95,,,十二層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,430,000元",9.41坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十四樓之２,東都綠學,986,113/07/01,33.31,35.07,64.16,,,十四層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號十四樓之６,東都綠學,"1,497",113/06/28,36.94,46.41,64.69,,,十四層/十四層,住家用,土1 建1車1,3房2廳2衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.71,1.59,6.69坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號五樓之２,東都綠學,"1,001",113/06/21,33.31,35.07,64.16,,,五層/十四層,住家用,土1 建1車1,2房2廳1衛,158,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,580,000元",9.76坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號五樓之７,東都綠學,"1,441",113/06/17,36.18,45.67,65.00,,,五層/十四層,住家用,土1 建1車1,3房2廳2衛,142,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,買方為協力廠商預售屋、或土地及建物分件登記案件;,23.34,1.48,6.57坪,坡道平面,"1,420,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號七樓之８,東都綠學,"1,085",113/06/16,37.34,34.78,63.92,,,七層/十四層,住家用,土1 建1車1,2房2廳1衛,138,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,380,000元",9.41坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號一樓之２,東都綠學,"1,057",113/06/09,35.73,35.20,64.31,,,一層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.36,1.2,4.69坪,坡道平面,"1,480,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號十樓之２,東都綠學,974,113/05/27,32.9,35.02,64.28,,,十層/十四層,住家用,土1 建1車1,3房2廳2衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,買方為協力廠商預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十樓之８,東都綠學,"1,008",113/05/10,33.92,35.11,63.95,,,十層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,480,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號五樓之１,東都綠學,"1,338",113/04/27,33,45.36,65.01,,,五層/十四層,住家用,土1 建1車1,3房2廳2衛,163,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.14,1.48,6.51坪,坡道平面,"1,630,000元",9.76坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十二樓之６,東都綠學,"1,088",113/04/26,37.11,35.23,64.24,,,十二層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.36,1.2,4.69坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十樓之３,東都綠學,"1,779",113/04/16,32.31,64.49,65.88,,,十層/十四層,住家用,土1 建1車2,4房2廳2衛,326,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,買方為協力廠商。車位未個別計算價格。預售屋、或土地及建物分件登記案件;,29.63,1.43,8.20坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下一樓；地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號十三樓之２,東都綠學,991,113/03/26,33.31,35.07,64.15,,,十三層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期:113/09/18，讓渡金額:9910000元。預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,480,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號十四樓之７,東都綠學,"1,811",113/03/09,36.58,54.96,65.94,,,十四層/十四層,住家用,土1 建1車1,4房2廳2衛,158,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,29.8,1.43,8.27坪,坡道平面,"1,580,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十四樓之７,東都綠學,"1,457",112/12/15,36.46,45.32,65.00,,,十四層/十四層,住家用,土1 建1車1,3房2廳2衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.34,1.48,6.57坪,坡道平面,"1,480,000元",9.41坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號十三樓之１,東都綠學,"1,413",112/08/13,33.51,47.22,65.18,,,十三層/十四層,住家用,土1 建1車1,3房2廳2衛,158,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,24.41,1.5,6.85坪,坡道平面,"1,580,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號四樓之２,東都綠學,956,112/08/12,32.19,35.02,64.28,,,四層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
