city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,南區,世界好美麗,南區水交社路２６號六樓,世界好美麗,"1,345",111/12/20,27.07,49.68,60.22,,4,六層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.46,2.53,3.30坪；4.86坪,坡道平面,,10.72坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷３９號二樓,世界好美麗,"1,050",111/10/25,26.73,39.28,61.02,,4,二層/七層,住家用,土2 建1車1,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,,,,,,,
台南市,南區,世界好美麗,南區水交社路２０巷５號六樓,世界好美麗,"1,390",111/09/03,26.43,52.60,58.72,,4,六層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,24.59,3.16,3.59坪；5.29坪,坡道平面,,10.72坪,地下二樓
台南市,南區,世界好美麗,南區水交社路３０號五樓,世界好美麗,780,111/08/18,15.34,50.83,59.65,,4,五層/七層,住家用,土2 建1車1,3房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,親友、員工、共有人或其他特殊關係間之交易;,23.93,3.22,3.45坪；5.08坪,坡道平面,,10.72坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷４７號六樓,世界好美麗,"1,830",111/06/11,30.05,60.90,60.62,,4,六層/七層,住家用,土2 建1車1,4房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,30.19,3.65,4.31坪；6.34坪,坡道平面,,11.10坪,地下二樓
台南市,南區,世界好美麗,南區水交社路３８號三樓,世界好美麗,"1,250",111/06/04,24.66,50.69,59.87,,,三層/--,,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.93,3.22,3.45坪；5.08坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路２０巷１５號六樓,世界好美麗,"1,330",111/05/22,26.66,49.89,61.56,,4,六層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,24.11,3.01,3.45坪；5.08坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,南區水交社路２０巷１１號六樓,世界好美麗,"1,235",111/03/19,27.35,45.15,64.03,,3,六層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,21.81,1.25,2.94坪；4.34坪,坡道平面,,11.10坪,地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷１１號七樓,世界好美麗,"1,100",111/03/05,24.56,44.79,64.05,,3,七層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,21.82,1.25,2.94坪；4.34坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路２０巷２７號二樓,世界好美麗,"1,330",111/01/28,24.98,53.23,57.85,,3,二層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,24.59,3.16,3.52坪；5.18坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路２０巷３３號,世界好美麗,800,110/12/10,26.82,36.08,69.10,,3,一層/七層,住家用,土2 建1車1,2房2廳1衛,120,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,17.52,,2.37坪；3.49坪,坡道平面,"1,200,000元",10.72坪,地下三樓
台南市,南區,世界好美麗,南區水交社路２０巷３９號二樓,世界好美麗,800,110/10/27,20.37,39.28,61.02,,3,二層/七層,住家用,土2 建1車1,2房1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,17.43,2.35,2.59坪；3.81坪,坡道平面,,10.72坪,地下一樓
台南市,南區,世界好美麗,南區水交社路４２號二樓,世界好美麗,"1,056",110/09/26,21.27,49.65,60.27,,3,二層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,含傢俱設備費;,23.46,2.98,3.38坪；4.97坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,南區水交社路２６號五樓,世界好美麗,758,110/09/11,15.26,49.68,60.22,,3,五層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,親友、員工、共有人或其他特殊關係間之交易;,23.46,2.53,3.30坪；4.86坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,南區水交社路２６號七樓,世界好美麗,"1,070",110/06/24,21.54,49.68,60.22,,3,七層/七層,住家用,土2 建1車1,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,,,,,,,
台南市,南區,世界好美麗,水交社路４８號二樓,世界好美麗,"1,220",110/04/01,20.88,58.42,60.12,,2,二層/七層,住家用,土2 建1車2,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,22.43,2.49,3.30坪；4.86坪,坡道平面；坡道平面,,10.39坪；10.72坪,
台南市,南區,世界好美麗,水交社路２０巷４７號,世界好美麗,506,110/01/04,18.38,27.52,67.68,,2,一層/七層,住家用,土2 建1車1,1房1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,其他增建;,11.37,,1.58坪；2.33坪,坡道平面,,10.72坪,
台南市,南區,世界好美麗,水交社路２０巷１３號五樓,世界好美麗,700,109/12/19,17.97,38.94,61.03,,2,五層/七層,住家用,土2 建1車1,2房1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,17.43,2.35,2.59坪；3.81坪,坡道平面,,10.39坪,
台南市,南區,世界好美麗,水交社路２０巷９號七樓,世界好美麗,740,109/10/30,18.44,40.13,55.82,,2,七層/七層,住家用,土2 建1車1,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,,,,,,,
台南市,南區,世界好美麗,水交社路２０巷９號七樓,世界好美麗,680,109/08/15,16.94,40.13,55.82,,2,七層/七層,住家用,土2 建1車1,2房1廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.42,3.22,2.51坪；3.70坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,水交社路２０巷２３號三樓,世界好美麗,650,109/07/11,15.95,40.76,54.65,,2,三層/七層,住家用,土2 建1車1,2房2廳1衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.42,3.22,2.51坪；3.70坪,坡道平面,,10.72坪,地下三樓
台南市,南區,世界好美麗,水交社路２８號五樓,世界好美麗,938,109/06/07,15.54,60.34,60.30,,,五層/七層,住家用,土2 建1車2,3房2廳2衛,,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,23.46,2.53,3.45坪；5.08坪,坡道平面；坡道平面,,10.72坪；10.72坪,地下一樓；地下二樓
台南市,南區,世界好美麗,南區水交社路２０巷９號七樓,世界好美麗,606,109/05/22,15.1,40.13,55.82,,2,七層/七層,住家用,土2 建1車1,2房1廳1衛,,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.42,3.22,2.51坪；3.70坪,坡道平面,,10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷３號六樓,世界好美麗,638,108/09/30,15.81,40.34,55.43,,1,六層/七層,住家用,土2 建1車1,2房1廳1衛,,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,16.42,3.22,2.51坪；3.70坪,坡道平面,,10.72坪,
台南市,南區,世界好美麗,南區水交社路２０巷１３號６樓,世界好美麗,588,108/07/29,16.04,39.28,61.02,,1,六層/七層,住家用,土2 建1車1,2房2廳1衛,130,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,,17.43,2.35,2.59坪；3.81坪,坡道平面,"1,300,000元",10.72坪,
台南市,南區,世界好美麗,南區水交社路２６號七樓,世界好美麗,720,108/07/04,15.4,49.68,60.22,,1,七層/七層,住家用,土2 建1車1,3房1廳2衛,120,有,,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,建物第一次登記後移轉,23.46,2.53,3.30坪；4.86坪,坡道平面,"1,200,000元",10.72坪,
